age,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary,employment_type
51,231230,13,0,2,0,1,0,0,25,1,1,2
45,262802,13,1,0,0,0,0,0,40,1,1,1
90,153602,9,0,2,0,1,1,0,40,1,1,0
30,220939,11,1,3,0,1,0,0,40,1,1,1
54,33863,9,0,2,0,1,0,0,40,1,0,0
37,233571,11,0,1,0,0,0,0,37,1,0,1
38,186145,10,0,1,0,0,0,0,40,1,0,1
28,82488,9,1,4,2,0,0,0,40,1,1,1
28,398220,3,1,5,0,1,0,0,40,0,1,1
34,246104,14,0,2,3,1,0,0,40,1,1,0
50,174752,9,1,3,0,1,0,0,40,1,1,2
39,192251,9,1,4,0,0,0,0,40,1,0,1
58,48433,9,0,2,0,1,0,0,40,1,1,0
69,269499,9,1,3,0,0,0,0,8,1,1,1
39,146091,13,0,1,0,0,0,0,20,1,0,1
62,245491,13,1,3,0,1,1,0,40,1,0,2
35,82622,9,1,3,0,1,0,0,50,1,1,1
36,186865,16,0,2,0,1,0,0,60,1,0,1
51,99987,6,1,0,3,0,0,0,40,1,1,1
22,272615,7,1,4,0,1,0,0,40,1,1,1
19,164585,9,1,4,0,0,0,0,40,1,1,1
46,111979,4,0,2,0,1,0,0,47,1,1,1
34,24529,9,1,0,0,1,0,0,15,1,1,1
37,109633,13,0,1,0,0,0,0,16,1,0,1
47,141511,16,0,2,0,1,0,0,60,1,0,1
28,261725,2,1,3,0,0,0,0,40,0,1,1
41,274363,10,1,3,0,1,0,0,80,1,0,1
64,80333,9,0,2,0,1,0,0,40,1,0,2
31,197252,4,0,2,0,1,0,0,40,0,1,1
29,265638,10,1,0,3,0,0,0,40,1,1,1
32,398988,13,1,3,0,1,0,0,40,1,1,1
53,608184,13,0,2,3,1,0,1,40,1,0,1
32,95530,10,0,2,0,1,0,0,40,1,1,0
51,133336,9,0,2,0,1,0,0,40,1,0,1
27,189530,10,1,4,0,1,0,0,35,1,1,1
49,133969,16,0,2,4,1,0,0,50,1,0,1
32,209103,9,0,2,0,1,0,0,20,1,0,1
52,63004,14,0,2,2,1,0,0,40,0,1,2
34,190040,9,0,1,0,0,0,0,40,1,1,1
32,239659,10,1,0,3,0,0,0,70,1,1,1
19,202673,10,1,4,0,1,0,0,50,1,1,1
32,46691,13,1,3,0,0,0,0,40,1,1,1
47,201865,9,0,2,0,1,0,0,40,1,1,1
55,82098,9,0,2,2,1,0,0,55,1,1,1
52,145879,10,0,2,0,1,0,0,65,1,1,1
36,52532,16,0,2,0,1,0,1,50,1,0,0
19,533147,9,1,3,0,1,0,0,30,1,1,1
40,224232,13,0,2,0,1,0,0,40,1,0,1
46,31432,9,0,1,0,0,1,0,52,1,0,1
19,278304,10,1,4,0,0,0,0,15,1,1,1
44,242861,9,0,2,0,1,0,0,40,1,1,1
45,204196,13,1,0,0,1,0,0,50,1,0,2
50,121685,10,0,2,0,1,0,0,45,1,0,1
33,163110,9,0,2,0,1,1,0,40,1,1,1
67,171564,9,0,1,0,0,1,0,30,0,0,2
55,106498,6,1,3,3,0,0,0,35,1,1,1
27,249362,10,0,2,0,1,1,0,40,1,1,0
17,114420,7,1,4,0,0,0,0,30,1,1,1
43,130126,10,0,2,0,1,1,0,45,1,0,2
37,93225,10,0,2,0,1,1,0,40,1,0,0
22,306779,10,1,4,0,1,0,0,50,1,1,1
29,490332,10,0,2,0,1,0,0,45,1,0,1
31,147654,9,1,4,0,1,0,0,40,1,1,1
30,177304,9,0,2,0,1,0,0,40,1,0,1
