age,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary,employment_type
45,256649,9,0,2,3,1,0,0,40,1,1,1
23,197904,9,1,0,0,0,0,0,35,1,1,1
38,189623,13,0,2,0,1,0,1,40,1,0,1
36,336595,9,0,2,0,1,0,0,50,1,0,1
19,375077,9,1,4,0,1,0,0,50,1,1,1
22,202920,9,1,0,0,0,1,0,40,0,0,2
55,184425,10,0,2,0,1,0,0,99,1,0,2
25,211231,9,0,5,0,0,0,0,48,1,0,1
30,181992,10,1,3,3,0,0,0,35,1,1,1
52,266529,10,0,2,0,1,0,0,45,1,0,1
25,282631,9,0,2,0,1,0,0,40,1,1,2
35,178322,11,0,2,0,1,0,0,50,0,0,1
38,338320,15,0,2,0,1,0,1,50,1,0,0
52,284129,10,0,2,0,1,0,0,40,1,0,1
62,33142,14,0,2,0,1,0,0,60,1,0,0
45,160167,6,0,2,0,1,0,0,70,1,1,2
39,288551,9,0,2,3,1,0,0,40,1,1,1
39,185520,10,1,3,0,0,1,0,40,1,0,1
39,144169,9,0,2,0,1,0,0,50,1,0,1
38,34996,10,1,0,0,0,0,0,40,1,1,1
35,185848,9,1,3,0,1,1,0,50,1,1,2
20,140764,10,1,4,0,0,0,0,20,1,1,1
18,179203,10,1,4,0,0,0,0,20,1,1,1
20,221095,9,1,5,3,1,0,0,40,1,1,1
29,183627,7,1,3,0,1,0,0,40,1,1,1
35,87556,9,1,3,0,1,0,0,40,1,1,1
27,116531,13,1,3,0,0,0,0,40,1,1,1
18,40293,9,1,5,0,1,0,0,40,1,1,2
51,305147,13,1,3,0,1,0,0,40,1,1,1
44,202872,10,1,0,0,0,0,0,25,1,1,0
36,20333,9,0,1,0,0,1,0,40,1,0,2
44,116632,14,0,2,0,1,0,0,50,1,0,1
56,174744,9,0,2,0,1,0,0,40,1,1,1
30,72630,13,1,3,0,1,0,0,50,1,1,1
48,96359,13,0,2,0,1,0,0,60,0,0,1
33,126950,9,0,2,0,1,0,0,60,1,1,1
56,258752,13,0,2,0,1,0,0,60,1,1,2
22,72310,9,1,3,0,1,0,0,70,1,1,1
46,80057,9,0,2,0,1,0,0,40,0,0,0
44,280362,12,0,2,0,1,0,0,40,1,0,0
36,166304,9,0,2,0,1,0,0,33,1,1,1
40,321758,9,0,2,0,1,0,0,40,1,0,1
55,109015,10,1,3,0,0,0,0,38,1,1,1
18,125441,7,1,4,0,1,1,0,20,1,1,1
30,121308,10,1,4,0,1,0,0,40,1,1,1
38,33975,9,0,5,0,1,0,0,40,1,0,1
46,295791,9,1,3,0,0,0,0,30,1,1,1
24,184678,13,1,3,0,0,0,0,40,1,1,0
29,198997,9,0,1,0,0,0,0,20,1,1,1
30,172822,11,1,3,0,1,0,0,40,1,1,0
34,112584,6,1,0,0,0,0,0,38,1,1,1
34,176831,13,1,0,0,0,0,0,40,1,0,1
52,213209,10,0,2,0,1,0,0,40,1,0,1
62,39630,9,0,2,0,1,0,0,40,1,1,2
61,160037,4,1,3,0,1,0,0,35,1,1,1
74,180455,13,1,3,0,0,0,0,8,1,1,1
21,294295,9,1,0,0,1,0,0,40,1,1,1
63,179444,4,0,2,0,1,0,0,15,1,1,2
48,192779,10,1,3,0,1,0,0,40,1,1,1
60,137733,13,0,2,0,1,0,0,50,1,1,2
58,150560,13,1,3,0,0,1,0,40,1,0,1
45,210875,9,0,2,0,1,0,0,40,1,1,1
43,397963,9,1,3,0,1,1,0,16,1,1,1
43,198965,14,0,2,0,1,0,0,40,1,0,0
35,30916,9,0,2,0,1,0,0,50,1,0,1
50,167380,4,0,2,0,1,0,0,40,1,1,2
28,181291,13,1,3,0,0,0,1,50,1,0,1
27,92431,10,1,3,0,1,0,1,40,1,0,0
22,152878,9,0,2,0,1,0,0,40,1,1,1
20,223515,10,1,4,0,1,0,0,40,1,1,1
32,175878,4,0,2,0,1,0,0,35,1,1,1
35,49020,14,0,2,0,1,0,0,60,1,0,1
35,276552,9,1,3,0,1,0,0,40,1,1,1
46,213140,14,0,2,0,1,0,1,40,1,0,0
56,314727,9,0,2,0,1,0,0,35,1,0,1
41,309056,16,0,2,0,1,0,0,50,1,0,0
28,113870,13,0,2,0,1,0,0,60,1,0,2
53,204447,14,0,2,0,1,0,0,43,1,0,0
48,199590,9,0,2,0,1,0,0,40,0,0,1
54,206862,9,0,2,0,1,0,0,36,1,0,2
46,27243,16,0,2,0,1,1,0,45,1,0,0
43,170230,13,1,3,0,0,0,0,60,1,1,2
36,189404,13,0,2,0,1,0,1,35,1,0,1
34,248584,9,1,3,0,1,0,0,55,1,1,1
54,256908,13,0,2,0,1,0,0,25,1,0,1
37,124293,10,0,2,0,1,0,0,50,1,1,1
37,186434,9,0,2,3,1,0,0,40,1,0,1
43,144778,9,0,2,0,1,0,0,50,1,0,1
51,237630,9,0,2,0,1,1,0,50,1,0,1
31,72630,13,1,3,0,1,1,0,50,1,0,1
59,174864,9,0,2,0,1,0,1,45,1,0,1
19,206599,10,1,4,0,0,0,0,16,1,1,1
35,257042,10,0,2,0,1,0,0,50,1,1,1
62,103344,13,1,3,0,1,1,0,50,1,0,1
35,188888,13,1,3,0,1,0,0,40,1,0,1
34,82938,9,0,2,0,1,0,0,50,1,1,1
57,136107,5,0,2,3,1,0,0,40,1,0,1
39,272166,13,1,3,3,1,0,0,30,1,1,0
23,170070,8,1,3,0,0,0,0,38,1,1,1
40,219266,9,0,2,0,1,1,0,50,1,0,1
37,334291,13,1,3,0,1,0,0,50,1,1,1
62,186696,9,0,2,0,1,0,0,40,1,1,1
19,386378,9,1,3,0,1,0,0,35,1,1,1
19,29526,10,1,4,0,0,0,0,18,1,1,1
71,77253,9,1,3,0,1,0,0,17,1,1,1
42,119359,15,0,1,1,0,1,0,40,0,0,1
35,401930,9,0,1,0,0,0,1,42,1,0,1
32,82393,13,0,2,2,1,0,0,56,1,0,0
46,45363,15,1,3,0,1,0,1,40,1,0,1
35,322171,10,0,1,0,0,0,0,40,1,0,1
45,319122,13,1,3,0,1,1,0,45,1,0,2
25,190418,10,1,4,0,1,0,0,30,0,1,1
23,253190,12,0,2,0,1,0,0,25,1,1,1
32,116677,9,0,2,0,1,0,0,40,1,1,1
23,210029,10,1,4,0,0,0,0,20,1,1,0
26,89389,10,1,3,0,0,0,0,40,1,1,1
50,117496,9,0,1,0,0,1,0,30,1,0,0
46,165484,12,0,2,0,1,0,0,44,1,0,0
17,143791,6,1,4,3,0,0,0,12,1,1,1
51,87205,13,0,1,0,0,1,0,20,1,0,1
49,102110,9,0,2,0,1,0,0,30,1,0,2
47,198769,10,1,3,0,0,0,0,40,1,0,1
26,216010,9,1,4,0,0,0,0,40,1,1,1
27,193898,9,1,3,0,1,0,0,50,1,1,1
45,148171,11,0,2,0,1,1,0,40,1,0,1
28,319768,14,0,2,0,1,0,0,45,0,0,1
53,231472,16,0,2,0,1,0,0,40,1,0,0
51,173291,9,1,3,0,0,0,0,40,1,1,1
17,198146,7,1,4,0,0,0,0,16,1,1,1
56,182273,9,0,2,0,1,0,0,40,1,1,1
61,151369,15,0,2,0,1,0,0,50,1,0,0
29,243875,11,1,4,0,1,0,0,40,1,1,0
54,202415,9,0,2,0,1,0,0,40,1,0,1
23,197918,10,1,4,0,1,0,0,40,1,0,0
35,216473,10,0,2,0,1,0,0,50,1,0,1
26,371556,10,1,3,0,0,0,0,40,1,1,1
44,277144,13,1,4,0,1,0,0,60,1,1,0
28,271466,9,0,2,0,1,0,0,45,1,0,1
54,166774,14,1,3,0,0,0,0,45,1,0,0
41,27305,14,0,2,0,1,0,0,40,1,0,0
30,361742,10,0,2,0,1,0,0,50,1,1,1
65,29276,4,1,5,0,0,0,0,24,1,1,0
46,353012,16,0,2,0,1,0,1,50,1,0,2
37,196529,14,0,1,0,0,0,0,45,1,0,0
25,259299,10,0,2,0,1,1,0,50,1,0,2
41,37869,9,0,2,0,1,0,1,40,1,0,1
17,239346,6,1,4,0,1,0,0,18,1,1,1
19,277695,5,1,5,0,1,0,0,16,0,1,1
38,179314,9,0,2,0,1,0,0,40,1,1,1
45,72844,9,1,3,0,0,0,0,46,1,1,1
36,61299,10,0,2,0,1,0,0,40,1,1,0
44,236746,14,1,3,0,1,1,0,45,1,0,1
54,198741,10,0,2,0,1,0,0,40,1,0,0
22,33087,9,0,2,0,1,0,0,45,1,1,1
38,239045,16,0,2,0,1,0,0,50,1,0,2
54,153486,9,1,3,0,1,0,0,56,1,0,1
29,83517,5,1,3,0,1,0,0,40,1,1,1
26,192652,13,1,4,0,1,0,0,40,1,1,1
58,259929,16,1,3,0,0,0,0,43,1,0,0
42,149210,13,0,2,0,1,1,0,45,1,0,1
47,94809,11,0,1,0,0,0,0,45,1,0,1
24,162919,10,1,3,0,0,0,0,40,1,1,0
42,257328,9,1,0,0,1,0,0,40,1,1,1
37,162424,9,0,2,0,1,0,0,45,1,1,1
59,100931,9,0,2,0,1,0,0,40,1,0,0
30,129707,10,0,2,0,1,0,1,40,1,0,1
17,143331,7,1,4,0,1,0,0,20,1,1,1
31,144949,13,1,3,0,1,0,0,60,1,1,2
35,139364,9,0,2,0,1,0,1,40,1,0,1
37,340599,7,1,0,3,0,0,0,40,1,1,1
34,192900,10,0,2,0,1,0,0,40,1,0,1
31,191834,10,0,2,0,1,0,0,40,1,0,1
47,121124,13,0,2,0,1,1,0,50,1,0,1
41,191451,14,1,0,3,0,0,0,60,1,0,1
45,168191,13,0,2,0,1,0,0,35,1,0,0
23,32616,13,1,4,0,0,0,0,20,1,1,1
22,279802,10,1,4,0,0,0,0,40,1,1,1
44,110396,14,1,3,0,1,1,0,56,1,0,1
30,111883,10,1,3,0,1,0,0,40,1,1,0
20,203027,9,1,3,0,1,0,0,55,1,1,1
32,318647,13,0,2,0,1,0,0,48,1,0,1
34,242984,9,0,2,0,1,0,1,45,1,0,1
69,197080,8,0,2,0,1,1,0,60,1,0,1
31,189843,9,1,3,0,1,0,0,47,1,0,0
40,223277,13,0,2,0,1,0,0,50,1,0,1
32,100135,13,0,1,0,0,0,0,35,1,0,0
41,347653,15,0,2,0,1,0,1,50,1,0,1
39,91367,14,0,2,0,1,0,1,45,1,0,1
31,174704,9,1,0,3,1,0,0,50,1,1,1
32,194740,13,0,2,0,1,0,1,40,1,0,1
36,132879,2,0,2,0,1,0,0,40,0,1,1
61,113080,5,0,2,0,1,0,0,58,1,0,2
45,188432,9,0,2,0,1,0,0,40,1,1,1
28,33662,14,0,1,0,0,1,0,40,1,0,0
36,218015,10,0,2,0,1,0,0,48,1,1,1
39,358753,11,0,2,0,1,1,0,40,1,0,1
53,539864,10,1,3,0,1,0,0,20,1,1,1
32,33678,10,0,2,0,1,0,0,50,1,0,1
40,306225,9,1,3,2,0,0,0,40,0,1,1
52,143533,4,1,5,3,0,0,0,40,1,1,0
