sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
0,33,0,0,0,4,1,1,0,0,0,1,0,1
1,49,0,0,0,4,0,0,1,0,1,0,0,1
0,26,0,0,0,1,1,1,0,0,1,0,1,0
1,28,0,0,0,0,1,1,0,0,0,1,0,1
1,38,0,0,0,2,0,1,0,0,1,0,1,0
0,28,0,0,0,1,0,1,0,0,1,0,1,0
0,30,0,0,0,2,0,1,0,0,1,0,1,0
1,23,0,0,0,2,0,0,0,1,1,0,1,0
1,30,0,0,0,4,0,1,0,0,1,0,1,0
1,37,0,0,0,0,1,1,0,0,0,1,1,0
0,36,0,0,0,0,0,1,0,0,1,0,1,0
1,36,0,0,0,0,0,1,0,0,0,1,0,1
1,27,0,0,0,9,1,1,0,0,1,0,1,0
0,24,0,0,0,0,0,0,0,1,0,1,1,0
1,37,0,0,0,3,0,1,0,0,0,1,1,0
0,24,0,0,1,6,1,0,0,1,0,1,1,0
0,48,0,0,0,0,0,0,1,0,0,1,0,1
1,41,0,0,0,1,0,1,0,0,0,1,1,0
1,25,0,0,0,2,1,1,0,0,0,1,1,0
1,20,0,1,1,4,1,0,0,1,1,0,1,0
1,39,0,0,0,2,1,1,0,0,0,1,1,0
1,22,0,1,0,3,0,0,0,1,1,0,1,0
1,35,0,0,1,1,1,1,0,0,1,0,0,1
1,33,0,0,0,3,1,1,0,0,1,0,0,1
1,34,0,1,0,10,1,1,0,0,1,0,1,0
1,25,0,1,1,7,1,1,0,0,1,0,0,1
1,22,0,0,0,2,1,0,0,1,1,0,1,0
1,26,0,0,1,5,1,1,0,0,1,0,1,0
1,26,0,0,0,5,1,1,0,0,0,1,1,0
1,22,0,0,0,1,1,0,0,1,1,0,1,0
1,22,0,0,0,0,0,0,0,1,0,1,0,1
1,26,0,0,0,0,1,1,0,0,1,0,0,1
0,20,0,0,0,0,0,0,0,1,1,0,1,0
1,52,0,0,0,6,1,0,1,0,1,0,0,1
1,61,0,0,0,1,1,0,1,0,1,0,1,0
1,25,0,0,0,1,1,1,0,0,0,1,0,1
0,33,0,0,0,2,1,1,0,0,0,1,1,0
0,42,0,0,0,0,1,1,0,0,0,1,1,0
1,47,0,0,0,7,1,0,1,0,1,0,1,0
1,20,0,0,1,0,1,0,0,1,1,0,1,0
1,34,0,0,0,2,0,1,0,0,0,1,0,1
1,49,0,0,0,4,0,0,1,0,1,0,0,1
0,23,0,0,0,2,1,0,0,1,1,0,1,0
1,22,0,0,1,13,1,0,0,1,1,0,1,0
1,32,0,0,0,0,0,1,0,0,0,1,1,0
1,54,0,0,0,0,0,0,1,0,1,0,0,1
1,23,0,0,0,1,1,0,0,1,1,0,1,0
1,39,0,0,0,2,0,1,0,0,0,1,0,1
1,42,0,0,0,1,0,1,0,0,1,0,1,0
1,50,0,0,0,0,1,0,1,0,0,1,0,1
0,40,0,0,0,4,0,1,0,0,1,0,0,1
1,25,0,0,0,4,1,1,0,0,1,0,1,0
1,21,0,0,1,0,1,0,0,1,0,1,0,1
1,27,0,2,1,13,1,1,0,0,1,0,1,0
1,30,0,0,0,2,0,1,0,0,0,1,1,0
1,38,0,0,0,2,1,1,0,0,1,0,1,0
1,21,1,2,2,3,1,0,0,1,1,0,1,0
1,40,0,0,0,4,0,1,0,0,0,1,0,1
1,24,0,1,3,4,1,0,0,1,1,0,1,0
1,34,0,0,0,0,0,1,0,0,0,1,0,1
0,32,0,0,0,0,0,1,0,0,1,0,1,0
1,21,0,1,0,1,0,0,0,1,1,0,1,0
1,28,0,0,0,0,1,1,0,0,0,1,1,0
1,55,0,0,0,33,1,0,1,0,0,1,1,0
1,32,0,0,0,0,0,1,0,0,0,1,0,1
1,37,0,0,0,0,0,1,0,0,0,1,0,1
1,37,0,0,0,2,0,1,0,0,1,0,0,1
1,31,0,2,0,8,1,1,0,0,1,0,0,1
1,33,0,0,0,7,1,1,0,0,0,1,1,0
1,57,0,0,0,0,0,0,1,0,0,1,1,0
1,27,0,0,0,5,1,1,0,0,1,0,1,0
1,22,0,0,0,0,1,0,0,1,1,0,1,0
1,28,0,0,0,7,1,1,0,0,0,1,1,0
1,30,0,1,0,9,1,1,0,0,1,0,1,0
0,32,0,0,0,0,0,1,0,0,1,0,1,0
1,41,0,0,0,0,0,1,0,0,0,1,1,0
1,44,0,0,0,0,0,1,0,0,1,0,1,0
1,48,0,0,0,3,0,0,1,0,0,1,1,0
1,27,0,0,0,0,0,1,0,0,0,1,1,0
1,25,0,1,0,9,1,1,0,0,0,1,1,0
0,27,0,0,0,0,0,1,0,0,0,1,1,0
1,57,0,0,0,23,1,0,1,0,1,0,1,0
1,35,0,0,0,7,0,1,0,0,1,0,1,0
1,34,0,0,0,6,1,1,0,0,1,0,1,0
0,32,0,0,0,3,0,1,0,0,1,0,1,0
1,59,0,0,0,3,0,0,1,0,1,0,1,0
1,23,0,1,0,4,1,0,0,1,1,0,1,0
1,59,0,0,0,8,0,0,1,0,1,0,1,0
0,53,0,0,0,0,0,0,1,0,0,1,0,1
1,28,0,0,0,0,0,1,0,0,1,0,0,1
1,27,0,0,0,0,1,1,0,0,1,0,1,0
1,50,0,0,0,0,0,0,1,0,0,1,1,0
1,27,0,0,0,0,0,1,0,0,1,0,0,1
1,24,0,0,0,0,1,0,0,1,1,0,0,1
1,32,0,0,0,8,1,1,0,0,1,0,1,0
1,23,0,0,0,3,1,0,0,1,1,0,1,0
1,25,1,0,0,2,0,1,0,0,1,0,1,0
1,39,0,0,0,0,0,1,0,0,0,1,1,0
1,23,0,0,0,6,1,0,0,1,1,0,1,0
0,42,0,0,0,0,1,1,0,0,1,0,0,1
1,32,0,0,0,17,1,1,0,0,1,0,1,0
1,31,0,0,0,4,1,1,0,0,1,0,1,0
1,32,0,0,0,0,1,1,0,0,0,1,1,0
1,25,0,0,0,0,1,1,0,0,0,1,0,1
1,29,0,0,0,0,0,1,0,0,1,0,0,1
1,33,0,0,0,0,1,1,0,0,0,1,0,1
1,48,0,0,0,10,0,0,1,0,1,0,1,0
1,23,0,0,0,0,0,0,0,1,1,0,0,1
1,37,0,0,0,4,1,1,0,0,0,1,0,1
1,57,0,0,0,19,0,0,1,0,1,0,1,0
1,42,0,0,0,0,0,1,0,0,0,1,1,0
1,37,0,0,0,11,1,1,0,0,1,0,1,0
1,20,1,1,1,2,1,0,0,1,1,0,1,0
1,26,0,0,0,1,0,1,0,0,1,0,0,1
1,34,0,0,0,3,0,1,0,0,0,1,1,0
1,56,0,0,0,3,0,0,1,0,1,0,0,1
1,30,0,0,0,0,1,1,0,0,1,0,1,0
1,51,0,0,0,11,1,0,1,0,1,0,0,1
0,50,0,0,0,0,0,0,1,0,0,1,0,1
0,53,0,0,0,6,1,0,1,0,0,1,1,0
1,36,0,0,0,1,1,1,0,0,0,1,1,0
1,42,0,0,0,0,0,1,0,0,0,1,1,0
1,34,0,0,1,3,0,1,0,0,0,1,0,1
1,25,4,0,1,13,1,1,0,0,0,1,1,0
1,23,0,0,0,0,1,0,0,1,1,0,1,0
1,29,0,0,0,0,0,1,0,0,0,1,1,0
1,39,0,0,0,0,0,1,0,0,0,1,0,1
1,23,0,0,0,1,0,0,0,1,1,0,1,0
1,31,0,0,0,0,0,1,0,0,1,0,1,0
1,21,0,0,0,2,1,0,0,1,1,0,1,0
0,49,0,0,0,2,0,0,1,0,0,1,1,0
1,30,0,0,0,2,1,1,0,0,1,0,1,0
1,36,0,0,0,5,1,1,0,0,0,1,1,0
1,23,0,0,0,3,0,0,0,1,1,0,0,1
1,24,0,0,0,1,1,0,0,1,1,0,1,0
1,33,0,0,0,4,0,1,0,0,1,0,0,1
1,27,0,0,0,4,1,1,0,0,1,0,0,1
1,25,0,0,0,0,1,1,0,0,1,0,0,1
1,25,0,0,0,0,0,1,0,0,0,1,1,0
1,34,0,0,0,4,1,1,0,0,1,0,1,0
0,30,0,0,0,2,0,1,0,0,1,0,0,1
1,50,0,0,0,1,0,0,1,0,0,1,1,0
1,24,0,0,0,0,0,0,0,1,0,1,1,0
1,36,0,0,0,7,1,1,0,0,1,0,1,0
1,44,0,0,0,1,1,1,0,0,0,1,1,0
0,55,0,0,0,2,0,0,1,0,0,1,1,0
1,24,0,0,0,3,1,0,0,1,0,1,1,0
1,37,0,0,0,8,0,1,0,0,1,0,1,0
1,37,0,0,0,0,0,1,0,0,0,1,1,0
1,25,0,0,0,0,0,1,0,0,1,0,0,1
1,25,0,0,0,0,0,1,0,0,1,0,1,0
0,21,0,0,0,0,0,0,0,1,1,0,0,1
1,45,1,0,0,16,0,0,1,0,1,0,1,0
1,26,1,0,0,10,1,1,0,0,1,0,1,0
0,25,0,0,0,1,1,1,0,0,0,1,0,1
1,66,0,0,0,2,0,0,1,0,0,1,0,1
1,24,0,0,0,0,0,0,0,1,1,0,1,0
1,34,0,0,0,0,1,1,0,0,1,0,1,0
1,27,0,0,0,5,1,1,0,0,0,1,1,0
0,50,0,0,0,7,1,0,1,0,0,1,0,1
1,50,0,0,0,0,0,0,1,0,0,1,1,0
0,26,0,0,0,1,0,1,0,0,0,1,0,1
1,37,0,0,0,1,1,1,0,0,0,1,0,1
0,33,0,0,0,1,0,1,0,0,1,0,1,0
1,30,0,0,0,7,1,1,0,0,1,0,1,0
0,31,0,0,0,1,1,1,0,0,1,0,0,1
1,37,0,0,0,2,0,1,0,0,0,1,0,1
1,20,1,0,0,1,1,0,0,1,0,1,1,0
1,26,0,0,0,0,0,1,0,0,1,0,1,0
1,35,0,0,0,1,0,1,0,0,1,0,1,0
1,61,0,0,0,2,0,0,1,0,1,0,0,1
0,25,0,0,0,2,1,1,0,0,0,1,1,0
0,36,0,0,0,1,0,1,0,0,1,0,0,1
0,41,0,0,0,1,0,1,0,0,0,1,0,1
1,50,0,0,0,2,0,0,1,0,1,0,0,1
1,22,0,1,2,4,1,0,0,1,0,1,0,1
1,37,0,0,0,6,1,1,0,0,1,0,1,0
1,30,0,0,0,0,0,1,0,0,0,1,0,1
1,38,0,0,0,4,0,1,0,0,1,0,0,1
1,52,0,0,0,0,1,0,1,0,1,0,0,1
1,22,0,0,1,2,1,0,0,1,0,1,0,1
1,27,2,0,0,14,1,1,0,0,1,0,1,0
1,34,0,0,0,10,0,1,0,0,1,0,1,0
1,42,0,0,0,8,0,1,0,0,0,1,1,0
0,53,0,0,0,0,0,0,1,0,1,0,1,0
0,44,0,0,0,3,1,1,0,0,0,1,1,0
1,25,0,0,0,7,1,1,0,0,1,0,1,0
1,29,0,0,0,0,0,1,0,0,1,0,1,0
1,24,0,0,0,1,0,0,0,1,1,0,0,1
0,26,0,0,0,0,0,1,0,0,0,1,1,0
0,24,0,0,0,1,1,0,0,1,1,0,1,0
0,44,0,0,0,0,0,1,0,0,1,0,1,0
0,42,0,0,0,8,1,1,0,0,1,0,1,0
1,27,0,0,0,10,0,1,0,0,1,0,1,0
1,45,0,0,0,4,1,0,1,0,0,1,0,1
0,46,0,0,0,7,1,0,1,0,0,1,1,0
1,47,0,0,0,14,0,0,1,0,1,0,0,1
1,23,0,0,0,0,1,0,0,1,1,0,1,0
1,32,0,0,0,0,0,1,0,0,0,1,1,0
1,30,0,0,0,0,1,1,0,0,1,0,0,1
