sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,27,0,1,0,6,1,1,0,0,1,0,1,0
0,42,0,0,0,0,0,1,0,0,0,1,1,0
0,24,0,0,0,3,1,0,0,1,1,0,1,0
0,59,0,0,0,2,0,0,1,0,0,1,1,0
1,23,0,0,0,0,1,0,0,1,1,0,1,0
1,32,0,0,0,2,1,1,0,0,0,1,1,0
1,23,1,0,0,2,0,0,0,1,1,0,1,0
1,37,0,0,0,11,1,1,0,0,0,1,1,0
1,26,0,0,0,5,0,1,0,0,0,1,0,1
0,61,0,0,0,0,0,0,1,0,0,1,0,1
0,26,0,0,0,0,0,1,0,0,0,1,0,1
0,20,0,0,0,0,0,0,0,1,1,0,0,1
1,34,0,0,1,3,0,1,0,0,0,1,0,1
1,21,0,0,0,0,1,0,0,1,0,1,1,0
1,27,0,0,0,1,0,1,0,0,1,0,1,0
0,24,0,0,0,2,1,0,0,1,1,0,1,0
1,34,0,0,0,4,1,1,0,0,1,0,1,0
1,27,0,0,0,2,0,1,0,0,1,0,1,0
0,52,0,0,0,0,1,0,1,0,1,0,1,0
0,30,0,0,0,3,1,1,0,0,0,1,1,0
