sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,39,0,0,0,2,1,1,0,0,0,1,1,0
1,50,0,0,0,1,0,0,1,0,0,1,1,0
1,28,0,0,0,1,1,1,0,0,1,0,1,0
0,51,0,0,0,5,0,0,1,0,0,1,1,0
1,49,0,0,0,1,0,0,1,0,0,1,1,0
1,43,0,0,0,9,0,1,0,0,0,1,1,0
0,24,0,0,0,1,0,0,0,1,0,1,1,0
0,30,0,0,0,0,0,1,0,0,1,0,0,1
1,27,0,0,0,6,1,1,0,0,1,0,1,0
1,50,0,0,0,2,0,0,1,0,0,1,1,0
0,26,0,0,0,0,0,1,0,0,1,0,1,0
0,23,0,0,0,0,1,0,0,1,0,1,1,0
1,22,0,0,1,1,1,0,0,1,1,0,1,0
0,39,0,0,0,0,1,1,0,0,0,1,0,1
1,41,0,0,1,7,1,1,0,0,1,0,0,1
1,30,0,0,0,18,1,1,0,0,1,0,0,1
1,24,0,0,1,3,1,0,0,1,1,0,1,0
1,26,0,0,0,7,1,1,0,0,1,0,1,0
1,24,0,0,0,0,0,0,0,1,1,0,0,1
1,58,0,0,0,8,0,0,1,0,0,1,0,1
