sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,49,0,0,0,4,0,0,1,0,1,0,0,1
1,38,0,0,0,2,0,1,0,0,1,0,1,0
0,28,0,0,0,1,0,1,0,0,1,0,1,0
0,30,0,0,0,2,0,1,0,0,1,0,1,0
1,30,0,0,0,4,0,1,0,0,1,0,1,0
1,37,0,0,0,0,1,1,0,0,0,1,1,0
1,36,0,0,0,0,0,1,0,0,0,1,0,1
1,27,0,0,0,9,1,1,0,0,1,0,1,0
0,24,0,0,0,0,0,0,0,1,0,1,1,0
1,41,0,0,0,1,0,1,0,0,0,1,1,0
1,25,0,0,0,2,1,1,0,0,0,1,1,0
1,39,0,0,0,2,1,1,0,0,0,1,1,0
1,34,0,1,0,10,1,1,0,0,1,0,1,0
1,22,0,0,0,2,1,0,0,1,1,0,1,0
1,26,0,0,1,5,1,1,0,0,1,0,1,0
1,26,0,0,0,5,1,1,0,0,0,1,1,0
1,22,0,0,0,1,1,0,0,1,1,0,1,0
0,33,0,0,0,2,1,1,0,0,0,1,1,0
1,47,0,0,0,7,1,0,1,0,1,0,1,0
1,20,0,0,1,0,1,0,0,1,1,0,1,0
1,34,0,0,0,2,0,1,0,0,0,1,0,1
0,23,0,0,0,2,1,0,0,1,1,0,1,0
1,22,0,0,1,13,1,0,0,1,1,0,1,0
1,32,0,0,0,0,0,1,0,0,0,1,1,0
1,42,0,0,0,1,0,1,0,0,1,0,1,0
0,40,0,0,0,4,0,1,0,0,1,0,0,1
1,21,0,0,1,0,1,0,0,1,0,1,0,1
1,30,0,0,0,2,0,1,0,0,0,1,1,0
1,38,0,0,0,2,1,1,0,0,1,0,1,0
1,21,1,2,2,3,1,0,0,1,1,0,1,0
0,32,0,0,0,0,0,1,0,0,1,0,1,0
1,21,0,1,0,1,0,0,0,1,1,0,1,0
1,28,0,0,0,0,1,1,0,0,0,1,1,0
1,55,0,0,0,33,1,0,1,0,0,1,1,0
1,32,0,0,0,0,0,1,0,0,0,1,0,1
1,37,0,0,0,0,0,1,0,0,0,1,0,1
1,57,0,0,0,0,0,0,1,0,0,1,1,0
1,27,0,0,0,5,1,1,0,0,1,0,1,0
1,30,0,1,0,9,1,1,0,0,1,0,1,0
0,32,0,0,0,0,0,1,0,0,1,0,1,0
1,41,0,0,0,0,0,1,0,0,0,1,1,0
1,44,0,0,0,0,0,1,0,0,1,0,1,0
0,27,0,0,0,0,0,1,0,0,0,1,1,0
1,57,0,0,0,23,1,0,1,0,1,0,1,0
1,23,0,1,0,4,1,0,0,1,1,0,1,0
1,59,0,0,0,8,0,0,1,0,1,0,1,0
1,28,0,0,0,0,0,1,0,0,1,0,0,1
1,50,0,0,0,0,0,0,1,0,0,1,1,0
