sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
0,39,0,0,0,0,1,1,0,0,0,1,1,0
1,38,1,1,0,9,1,1,0,0,1,0,1,0
0,32,0,0,0,5,0,1,0,0,1,0,1,0
1,50,0,0,0,1,0,0,1,0,0,1,1,0
0,23,0,0,4,5,1,0,0,1,0,1,1,0
1,34,0,0,0,5,0,1,0,0,0,1,0,1
1,27,0,0,0,8,0,1,0,0,0,1,1,0
1,26,1,1,0,10,1,1,0,0,1,0,1,0
1,51,0,0,0,0,0,0,1,0,0,1,1,0
1,22,0,0,1,0,1,0,0,1,1,0,1,0
1,25,0,0,0,4,1,1,0,0,1,0,1,0
1,37,0,0,0,6,0,1,0,0,1,0,1,0
1,25,0,0,0,0,0,1,0,0,0,1,0,1
1,42,1,0,1,13,1,1,0,0,1,0,0,1
1,22,0,0,0,5,1,0,0,1,1,0,1,0
0,52,0,0,0,6,0,0,1,0,0,1,0,1
1,20,0,0,0,0,0,0,0,1,1,0,1,0
1,60,0,0,0,12,0,0,1,0,1,0,1,0
1,21,0,0,0,0,1,0,0,1,0,1,1,0
1,53,0,0,0,4,0,0,1,0,0,1,1,0
1,23,0,0,0,6,1,0,0,1,0,1,1,0
1,21,2,0,1,2,1,0,0,1,1,0,1,0
1,30,0,0,0,2,0,1,0,0,1,0,0,1
0,30,0,0,0,7,0,1,0,0,0,1,0,1
0,60,0,0,0,0,1,0,1,0,0,1,1,0
1,28,0,0,0,0,1,1,0,0,1,0,0,1
1,24,0,0,0,0,0,0,0,1,1,0,0,1
1,27,0,0,0,4,0,1,0,0,1,0,1,0
1,41,0,0,0,0,0,1,0,0,0,1,0,1
1,37,0,0,0,8,1,1,0,0,1,0,0,1
1,25,0,0,0,0,0,1,0,0,0,1,0,1
1,43,0,0,0,5,0,1,0,0,0,1,1,0
1,23,0,0,2,4,1,0,0,1,1,0,1,0
1,41,0,0,0,25,1,1,0,0,1,0,1,0
1,30,0,1,0,9,1,1,0,0,1,0,1,0
1,35,0,0,0,0,0,1,0,0,1,0,1,0
1,50,0,0,2,24,1,0,1,0,1,0,0,1
1,24,0,0,0,2,1,0,0,1,1,0,1,0
0,49,0,0,0,0,0,0,1,0,1,0,1,0
1,54,0,0,0,2,0,0,1,0,0,1,0,1
1,22,0,0,1,0,1,0,0,1,1,0,1,0
1,52,0,0,0,0,1,0,1,0,1,0,0,1
1,36,0,0,0,2,1,1,0,0,1,0,1,0
