sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,34,0,0,0,0,1,1,0,0,1,0,1,0
0,21,0,0,0,0,0,0,0,1,0,1,1,0
1,25,0,0,0,9,1,1,0,0,0,1,0,1
1,27,0,0,1,1,1,1,0,0,0,1,1,0
1,29,0,0,0,7,0,1,0,0,1,0,1,0
1,22,0,0,0,4,1,0,0,1,1,0,1,0
1,35,0,0,0,2,0,1,0,0,1,0,1,0
1,30,0,0,0,8,1,1,0,0,1,0,1,0
1,57,0,0,0,20,1,0,1,0,1,0,1,0
1,63,0,0,0,0,0,0,1,0,1,0,0,1
1,35,0,0,0,2,0,1,0,0,0,1,1,0
1,23,0,0,0,1,1,0,0,1,1,0,1,0
1,55,0,0,0,11,0,0,1,0,0,1,0,1
1,61,0,0,0,5,0,0,1,0,1,0,1,0
1,22,0,0,1,0,0,0,0,1,1,0,1,0
1,22,0,0,0,1,1,0,0,1,1,0,1,0
1,21,0,0,0,1,0,0,0,1,0,1,1,0
1,54,0,0,0,0,1,0,1,0,1,0,0,1
1,28,0,0,0,3,0,1,0,0,1,0,0,1
0,24,0,0,0,0,0,0,0,1,1,0,0,1
1,24,1,0,1,9,1,0,0,1,1,0,0,1
1,22,0,0,0,0,1,0,0,1,0,1,0,1
1,23,0,0,0,4,1,0,0,1,0,1,0,1
0,31,0,0,2,2,1,1,0,0,0,1,1,0
0,38,0,0,0,3,0,1,0,0,0,1,1,0
1,24,0,0,0,1,1,0,0,1,1,0,1,0
1,38,0,0,0,0,0,1,0,0,1,0,1,0
1,26,0,0,0,1,1,1,0,0,0,1,1,0
1,22,0,1,0,3,1,0,0,1,1,0,1,0
1,24,0,0,0,1,1,0,0,1,0,1,1,0
1,24,0,0,0,1,1,0,0,1,1,0,0,1
0,21,0,0,0,0,0,0,0,1,1,0,1,0
1,25,0,0,0,0,0,1,0,0,0,1,0,1
1,29,0,0,0,0,0,1,0,0,1,0,1,0
0,30,0,0,0,3,0,1,0,0,1,0,1,0
0,31,0,0,0,4,0,1,0,0,1,0,1,0
1,56,0,0,0,1,0,0,1,0,0,1,1,0
1,29,0,0,0,2,0,1,0,0,0,1,0,1
1,47,0,0,0,3,1,0,1,0,1,0,0,1
0,40,0,0,0,3,1,1,0,0,0,1,1,0
