sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,27,0,1,0,6,1,1,0,0,1,0,1,0
0,39,0,0,0,0,1,1,0,0,0,1,1,0
1,43,0,0,0,13,1,1,0,0,0,1,1,0
0,42,0,0,0,0,0,1,0,0,0,1,1,0
0,24,0,0,0,3,1,0,0,1,1,0,1,0
0,59,0,0,0,2,0,0,1,0,0,1,1,0
1,27,0,0,0,3,0,1,0,0,1,0,1,0
1,23,0,0,0,0,1,0,0,1,1,0,1,0
1,32,0,0,0,2,1,1,0,0,0,1,1,0
1,23,1,0,0,2,0,0,0,1,1,0,1,0
1,37,0,0,0,11,1,1,0,0,0,1,1,0
0,45,0,0,0,2,0,0,1,0,1,0,1,0
1,26,0,0,0,5,0,1,0,0,0,1,0,1
0,61,0,0,0,0,0,0,1,0,0,1,0,1
1,41,0,0,0,1,0,1,0,0,0,1,1,0
1,25,0,13,1,21,1,1,0,0,1,0,1,0
0,26,0,0,0,0,0,1,0,0,0,1,0,1
1,38,0,0,0,4,0,1,0,0,1,0,0,1
1,53,0,0,0,13,0,0,1,0,1,0,1,0
0,51,0,0,0,4,0,0,1,0,0,1,1,0
1,48,0,0,0,10,0,0,1,0,1,0,1,0
0,20,0,0,0,0,0,0,0,1,1,0,0,1
1,34,0,0,1,3,0,1,0,0,0,1,0,1
1,21,0,0,0,0,1,0,0,1,0,1,1,0
1,27,0,0,0,1,0,1,0,0,1,0,1,0
0,24,0,0,0,2,1,0,0,1,1,0,1,0
1,34,0,0,0,4,1,1,0,0,1,0,1,0
1,36,0,0,0,13,1,1,0,0,1,0,1,0
1,69,0,0,0,1,1,0,1,0,1,0,1,0
1,27,0,0,0,2,0,1,0,0,1,0,1,0
1,27,0,0,0,2,0,1,0,0,1,0,1,0
1,41,0,0,0,0,0,1,0,0,1,0,0,1
1,40,0,0,0,5,1,1,0,0,0,1,1,0
0,28,0,0,0,2,1,1,0,0,0,1,1,0
0,52,0,0,0,0,1,0,1,0,1,0,1,0
0,30,0,0,0,3,1,1,0,0,0,1,1,0
1,22,0,0,1,0,1,0,0,1,1,0,0,1
1,39,0,0,0,3,1,1,0,0,1,0,1,0
0,30,0,0,0,3,0,1,0,0,0,1,1,0
1,35,0,0,1,12,1,1,0,0,1,0,0,1
