sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,25,0,0,0,9,1,1,0,0,0,1,1,0
1,39,0,0,0,2,1,1,0,0,0,1,1,0
1,50,0,0,0,1,0,0,1,0,0,1,1,0
1,41,0,0,0,0,1,1,0,0,0,1,0,1
1,28,0,0,0,1,1,1,0,0,1,0,1,0
1,34,0,0,0,1,0,1,0,0,1,0,1,0
0,51,0,0,0,5,0,0,1,0,0,1,1,0
1,49,0,0,0,1,0,0,1,0,0,1,1,0
1,43,0,0,0,9,0,1,0,0,0,1,1,0
1,22,0,0,0,0,0,0,0,1,1,0,1,0
1,66,0,0,0,1,0,0,1,0,0,1,0,1
0,24,0,0,0,1,0,0,0,1,0,1,1,0
0,30,0,0,0,0,0,1,0,0,1,0,0,1
1,29,0,0,0,1,1,1,0,0,1,0,0,1
1,42,0,0,0,1,0,1,0,0,0,1,1,0
1,51,0,0,0,0,0,0,1,0,0,1,0,1
1,27,0,0,0,6,1,1,0,0,1,0,1,0
0,21,0,0,0,1,1,0,0,1,1,0,1,0
1,50,0,0,0,2,0,0,1,0,0,1,1,0
1,38,0,0,0,5,1,1,0,0,0,1,1,0
1,23,0,0,0,6,1,0,0,1,1,0,1,0
0,26,0,0,0,0,0,1,0,0,1,0,1,0
0,23,0,0,0,0,1,0,0,1,0,1,1,0
1,22,0,0,1,1,1,0,0,1,1,0,1,0
0,39,0,0,0,0,1,1,0,0,0,1,0,1
1,41,0,0,1,7,1,1,0,0,1,0,0,1
1,34,0,0,0,1,0,1,0,0,1,0,0,1
1,30,0,0,0,18,1,1,0,0,1,0,0,1
1,65,0,0,0,1,1,0,1,0,0,1,1,0
1,24,0,0,1,3,1,0,0,1,1,0,1,0
1,61,0,0,0,25,0,0,1,0,1,0,1,0
1,41,0,0,0,1,1,1,0,0,0,1,0,1
1,32,0,3,0,7,0,1,0,0,1,0,1,0
1,22,0,0,0,1,0,0,0,1,0,1,1,0
1,29,0,0,0,6,1,1,0,0,0,1,1,0
1,26,0,0,0,7,1,1,0,0,1,0,1,0
1,24,0,0,0,0,0,0,0,1,1,0,0,1
1,31,2,0,0,6,0,1,0,0,1,0,1,0
0,29,0,0,0,5,1,1,0,0,1,0,1,0
1,58,0,0,0,8,0,0,1,0,0,1,0,1
