sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
0,47,0,0,0,1,1,0,1,0,0,1,1,0
1,29,0,0,0,4,1,1,0,0,1,0,1,0
0,26,0,0,0,1,1,1,0,0,1,0,1,0
1,29,0,0,0,0,0,1,0,0,1,0,0,1
0,59,0,0,0,2,0,0,1,0,0,1,1,0
1,39,0,0,0,0,0,1,0,0,1,0,1,0
0,39,0,0,0,1,1,1,0,0,0,1,0,1
1,25,0,0,0,0,0,1,0,0,1,0,0,1
1,58,0,0,0,2,0,0,1,0,0,1,1,0
1,32,0,0,0,3,0,1,0,0,0,1,1,0
1,49,0,0,0,1,1,0,1,0,0,1,1,0
1,21,0,0,0,0,1,0,0,1,0,1,1,0
0,43,0,0,0,7,0,1,0,0,0,1,1,0
1,34,0,0,0,1,0,1,0,0,0,1,1,0
1,59,0,0,0,0,0,0,1,0,0,1,1,0
1,56,0,0,0,24,0,0,1,0,1,0,1,0
1,21,0,0,0,0,1,0,0,1,1,0,1,0
1,39,0,0,0,1,1,1,0,0,1,0,1,0
1,23,0,0,0,4,1,0,0,1,0,1,0,1
1,27,0,0,0,0,1,1,0,0,1,0,1,0
1,27,0,0,0,2,0,1,0,0,1,0,1,0
1,40,0,0,0,1,0,1,0,0,0,1,0,1
1,59,0,0,0,0,0,0,1,0,1,0,0,1
0,22,0,0,0,0,0,0,0,1,1,0,1,0
0,29,0,0,0,0,0,1,0,0,0,1,0,1
1,22,0,0,0,3,1,0,0,1,0,1,1,0
0,30,0,0,0,7,1,1,0,0,1,0,0,1
1,21,0,0,0,0,0,0,0,1,1,0,1,0
1,32,0,0,0,1,0,1,0,0,1,0,1,0
1,21,0,0,0,2,1,0,0,1,0,1,1,0
1,25,0,0,2,6,1,1,0,0,1,0,0,1
1,27,0,0,0,2,1,1,0,0,0,1,1,0
1,23,0,0,2,1,1,0,0,1,0,1,1,0
1,56,0,0,0,1,0,0,1,0,0,1,1,0
0,29,0,0,0,0,0,1,0,0,0,1,0,1
1,54,0,0,0,21,0,0,1,0,1,0,1,0
1,33,0,0,0,6,1,1,0,0,0,1,1,0
1,23,0,1,1,8,1,0,0,1,1,0,1,0
1,29,0,0,0,3,1,1,0,0,0,1,1,0
1,35,0,0,1,12,1,1,0,0,1,0,0,1
