sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
0,37,0,0,0,2,0,1,0,0,1,0,1,0
1,28,0,0,0,3,1,1,0,0,0,1,0,1
1,28,0,0,0,8,1,1,0,0,1,0,1,0
1,37,0,0,0,0,0,1,0,0,0,1,1,0
1,21,0,1,1,1,1,0,0,1,1,0,1,0
0,21,0,1,0,0,1,0,0,1,0,1,0,1
1,47,0,0,0,4,0,0,1,0,1,0,1,0
0,62,0,0,0,0,0,0,1,0,0,1,0,1
1,33,0,0,0,2,1,1,0,0,1,0,0,1
1,26,0,0,0,6,1,1,0,0,1,0,1,0
1,23,0,0,0,1,1,0,0,1,1,0,1,0
1,26,0,0,0,2,0,1,0,0,1,0,1,0
1,26,0,0,0,1,0,1,0,0,1,0,0,1
1,28,0,0,0,14,0,1,0,0,0,1,1,0
1,54,0,0,0,0,0,0,1,0,0,1,0,1
1,28,0,0,1,2,0,1,0,0,0,1,0,1
1,21,0,0,0,1,1,0,0,1,0,1,1,0
1,24,1,0,1,9,1,0,0,1,1,0,0,1
1,31,0,0,0,0,0,1,0,0,0,1,1,0
1,26,1,3,0,24,1,1,0,0,1,0,0,1
1,25,0,0,0,0,0,1,0,0,1,0,0,1
1,24,0,0,0,1,0,0,0,1,0,1,1,0
1,51,0,0,0,14,0,0,1,0,1,0,1,0
1,59,0,0,0,3,0,0,1,0,0,1,0,1
1,30,4,0,0,12,1,1,0,0,1,0,1,0
1,44,0,0,0,1,0,1,0,0,0,1,1,0
1,20,1,2,0,5,1,0,0,1,1,0,1,0
1,45,0,0,0,21,1,0,1,0,0,1,1,0
1,37,1,6,0,13,0,1,0,0,0,1,1,0
0,24,0,0,0,0,0,0,0,1,0,1,0,1
1,30,0,0,0,1,0,1,0,0,1,0,1,0
1,42,1,0,0,7,1,1,0,0,1,0,1,0
1,20,0,0,0,2,1,0,0,1,1,0,1,0
0,34,0,0,0,0,1,1,0,0,1,0,0,1
1,41,0,0,0,6,1,1,0,0,1,0,1,0
0,34,0,0,0,10,1,1,0,0,0,1,1,0
1,20,0,0,0,0,0,0,0,1,1,0,1,0
1,27,0,0,0,3,1,1,0,0,1,0,1,0
1,27,1,2,0,11,0,1,0,0,1,0,1,0
1,55,0,0,0,3,1,0,1,0,1,0,0,1
