sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,y,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M
1,49,0,0,0,0,0,0,1,0,0,1,0,1
0,26,0,0,0,1,1,1,0,0,1,0,1,0
1,22,0,0,0,1,0,0,0,1,1,0,1,0
1,21,0,0,0,0,1,0,0,1,1,0,1,0
0,37,0,0,0,0,0,1,0,0,0,1,0,1
0,23,0,0,0,0,0,0,0,1,1,0,0,1
1,27,0,0,0,1,0,1,0,0,1,0,1,0
1,66,0,0,0,1,0,0,1,0,0,1,0,1
1,23,0,0,0,0,1,0,0,1,1,0,1,0
1,37,0,0,1,26,1,1,0,0,1,0,1,0
1,33,0,0,0,0,1,1,0,0,0,1,1,0
1,21,0,0,0,0,0,0,0,1,1,0,1,0
0,64,0,0,0,1,1,0,1,0,1,0,0,1
1,62,0,0,0,13,1,0,1,0,1,0,1,0
1,24,0,0,0,0,0,0,0,1,1,0,1,0
0,44,0,0,0,0,1,1,0,0,0,1,0,1
0,28,0,0,0,0,0,1,0,0,1,0,0,1
0,24,0,0,0,4,1,0,0,1,1,0,1,0
0,40,0,0,0,0,0,1,0,0,0,1,1,0
1,29,0,0,0,2,1,1,0,0,1,0,1,0
